,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
45539,Prix des prestations (cf détails dans le règlement de consultation,Valeur technique et organisationnelle de loffre (55% pour le lot 1 et 40% pour le lot 2 - cf détails dans le règlement de consultation
45542,PRIX,VALEUR TECHNIQUE
45560,Prix,Valeur technique de loffre
45563,Prix,Valeur technique
45567,Qualité,Caractère esthétique
45570,Prix,Valeur technique et environnementale
45579,Prix,Valeur technique et environnementale
45581,Prix des prestations,Valeur technique analysée à partir des 3 pièces comportant les thèmes demandés
45595,Qualité technique,Coût des travaux
45596,Prix des prestations,Valeur technique
45605,Prix,Valeur technique de loffre
45606,Valeur technique de loffre (cf sous-critères dans le règlement de consultation,Prix des prestations (cf sous-critères dans le règlement de consultation
45607,Prix,Valeur technique
45613,Prix,Valeur technique
45620,Lot 1 : Prix des prestations,Lot 1 : Valeur technique appréciée au regard du mémoire technique et des fiches techniques.
45622,Prix,Valeur technique et environnementale
45636,Prix,Valeur technique
45643,Valeur technique,Prix des prestations
45657,Valeur technique de loffre,Prix
45658,Prix,Valeur technique de loffre
45662,Prix,Valeur technique de loffre
45670,Valeur Technique : moyens mis en oeuvre pour la réalisation des travaux,Valeur Technique : méthodologie
45675,Valeur technique,Prix des prestations
45677,Lot 1 : prix des prestations (note sur 20,Lot 1 : valeur technique de loffre (mémoire technique(note sur 20
45678,La valeur technique des prestations,Le prix des prestations
45682,Prix,Valeur technique
45684,Prix,Valeur technique
45685,Prix,Valeur technique de loffre appréciée au regard de la performance de bacs fournis en échantillons dans les conditions réelles dutilisation au Port dArcachon (Solidité 10 % - Emboitement 10 % - Comportement dans le tunnel de lavage 5 % - Comportement dans le convoyeur de bacs 5 %
45686,Valeur technique (cf. rc pour le détail des sous critères,Prix (cf. rc pour le détail des sous critères
45688,Prix,Valeur technique de loffre
45690,Prix,Valeur technique
45700,la valeur technique,le prix
45714,Valeur technique de loffre appréciée à laide du mémoire technique,Prix
45716,valeur technique (expériences ; compétences engagées et organisation,Prix de la prestation
45728,Valeur technique de loffre appréciée à laide du mémoire technique,Prix
45729,Prix,Valeur technique
45731,Prix des prestations (évalué sur le détail quantitatif estimatif,Valeur technique (évaluée sur le mémoire technique fourni par les candidats
45734,Prix : pondération 50 points,Valeur technique : pondération 50 points (des sous-critères sont décrits à larticle 6.2 du RC
45738,Valeur technique appréciée notamment au vu du mémoire technique,Le prix
45741,Valeur technique,Prix
45751,Valeur technique de loffre,Prix des prestations
45752,Valeur technique,Prix des prestations
45760,Prix des prestations,Valeur technique
45777,Valeur technique de loffre,Prix
45782,Prix,Valeur environnementale de loffre
45785,Prix,Valeur technique de loffre
45787,Valeur technique,Prix des prestations
45794,Organisation et mise en oeuvre des travaux (Procédés dexécution envisagés,Organisation de la gestion du chantier (Accès chantier
45797,Valeur technique au regard de la note technique : -Compétences et composition de l?équipe projet -Méthodologie pour chacune des étapes de la mission -compréhension des enjeux du territoire -exemple de livrable,Prix
45798,Prix,Valeur technique
45799,Prix,La valeur technique
45812,Valeur technique appréciée notamment au vue du mémoire technique,Le prix
45816,Valeur technique,Prix des prestations
45820,Prix,Valeur technique
45823,Prix lots 1 et 2,Pour le lot 1
45824,Prix,Valeur technique de loffre appréciée à laide du mémoire technique
45826,Prix : pondération 60 points,Valeur technique : pondération 40 points (des sous-critères sont détaillés à larticle 6-2 du RC
45832,Valeur technique,Prix
45833,Lot no 1 : Prix,Lot no 1 : Qualité du matériel
45853,Valeur technique,Prix des prestations
45867,Valeur technique de loffre (voir détail au RC,Prix
45869,Valeur technique,Prix des prestations
45874,Qualité de lanimation,Qualité de lhébergement
45878,Programme détaillé de chacune des sessions,Organisation et méthodes pédagogiques
45886,Prix des prestations,Valeur technique sur la base du mémoire technique
45889,Prix des prestations,Optimisation des délais
45899,Valeur technique,Prix
45902,Valeur technique,Prix des prestations
45909,Prix des prestations - 60 points,Valeur technique - 40 points
45920,Compréhension des enjeux et méthodologie proposée,Prix des prestations
45929,Prix (%,Technique (%
45931,Valeur technique,Prix
45933,Valeur technique de loffre: qualité des prestations proposées selon le mémoire technique,Prix
45942,Prix,Valeur technique de loffre
45980,prix,valeur technique
45983,Prix,Valeur technique
45985,Valeur technique (méthodologie,Prix
45992,Prix,Valeur technique
46001,Valeur technique de loffre,Prix
46002,Prix des prestations,Valeur technique jugée au vu du mémoire technique comprenantles moyens humains et matériel mis à disposition pour ce chantier
46003,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
46005,Valeur technique,Prix
46009,Valeurs techniques,Prix
46012,Valeur technique,Prix des prestations
46016,Valeur technique de loffre,Prix des prestations
46018,Valeur technique,Prix global de la prestation
46021,Valeur technique,Prix
46033,Valeur technique,Prix
46034,Valeur technique des prestations,Prix : 40 %
46048,Valeur technique,Prix
46069,Délai dintervention,valeur technique
46071,prix,valeur technique
46077,Prix,Valeur technique
46083,Valeur technique,Prix
46084,prix,valeur technique
46087,Prix,Note méthodologique
46091,Prix,Note technique
46096,Prix,Valeur technique
46104,Prix : 60 points,Valeur technique (Qualité de la DPGF
46105,Prix des prestations,Valeur technique
46110,Prix des prestations,Valeur technique des prestations
46112,Prix des prestations,Valeur technique
46113,La valeur technique au regard du mémoire justificatif et explicatif,La pertinence daffectation appréciée au vu du CV du chef de projet et des membres de léquipe intervenant dans le cadre de ce marché
46118,Prix des prestations,Valeur technique
46119,Valeur technique,Prix
46120,Lot Lot 1 : Prix des prestations,Lot Lot 1 : Valeur technique
46125,Lot 01 : Pertinence de la démarche dinsertion professionnelle des publics en difficulté,Lot 01 : Prix des prestations
46129,Valeur technique jugée au regard du mémoire technique,Prix des prestations
46134,Lot lot no1 : Valeur technique,Lot lot no1 : Coût
46138,Valeur technique appréciée au regard dun mémoire technique complété (article 7 de lAE par le candidat.,Prix des prestations
46145,Lot 05 : Pertinence de la démarche dinsertion professionnelle des publics en difficulté,Lot 05 : Prix des prestations
46146,Valeur technique jugée au regard du mémoire technique,Prix des prestations jugé au regard de la DPGF
46149,Valeur technique de loffre,Prix des prestations
46151,Prix,Valeur technique
46157,Prix des prestations,Valeur technique
46172,Prix : 60 points,Valeur technique (Qualité de la DPGF
46178,Prix des prestations,Valeur technique
46179,Prix des prestations,Valeur technique
46180,Qualité,Sécurité
46181,prix,note technique
46182,Valeur technique de loffre,Prix
46183,valeur technique,prix
46184,Prix des prestations,Valeur technique
46190,Valeur technique : Au vu du mémoire technique remis par le candidat et selon les sous critère suivants : - * lorganisation et la pertinence de la méthodologie proposée (30%,Prix des prestations : au vu de la DPGF
46191,Caractère esthétique apprécié au regard des échantillons,Délai de livraison apprécié au regard du délai indiqué dans le mémoire
46192,Prix,Valeur technique
46196,Valeur technique,Prix des prestations
46202,Prix global de la prestation,Valeur technique
46205,Prix,Note technique
46213,Prix des prestations évalué au regard de la DPGF,Qualité des équipements proposés évalué au regard du mémoire technique
46214,Prix,Valeur technique
46215,prix,valeur technique et délais
46216,Prix,Valeur technique
46218,Valeur technique,Prix des prestations
46221,Valeur technique,Prix des prestations
46228,Le prix pour 70 points,Technique pour 30 points
46230,Valeur technique,Prix des prestations
46235,Valeur technique,Prix des prestations
46237,Prix,Valeur technique (méthodologie
46243,Valeur technique de loffre,Prix des prestations
46244,Valeur technique,Prix
46245,prix,valeur technique et délais
46246,Prix des prestations,Prix des prestations : Montant total du bordereau
46247,Prix,Organisation méthodologie
46252,Valeur technique de loffre,Prix des prestations
46255,Valeur technique analysée à partir des sous critères suivants : durée dimmobilisation des véhicules compris le temps de trajet (40 % - mémoire technique (20 %,Prix des prestations : total visite
46259,Prix des prestations,Délai de livraison ou dexécution
46261,Qualité,Sécurité
46265,Le prix pour 70 points,Technique pour 30 points
46266,Prix des prestations,Valeur technique
46270,Prix composé des sous critères suivants : prix télésurveillance 20 % - forfait par site pour prise en compte de la télésurveillance : 5 % - maintenance corrective : 15 % (taux horaire 10 % et taux de remise 5 % - prix intervention et gardiennage : 30 %,Délai dintervention composé des sous critères suivants : délai suite au signalement dintrusion par le PC de surveillance : 10 % - délai dintervention maintenance corrective à compter du signalement par le PC : 5 %
46275,Prix,Valeur technique
46280,Prix des prestations,Valeur technique
46284,Valeur technique,Prix
46287,Valeur technique de loffre,Prix
46288,Prix des prestations,Valeur technique
46289,Environnement,Qualité
46290,Qualité technique,Prix
46291,Prix,Critere technique
46292,Prix,Technique
46293,Prix des prestations,Valeur technique
46295,Valeurs techniques,Prix
46303,Prix des prestations,Valeur technique : - visite des lieux obligatoire
46306,valeur technique,prix
46312,valeur technique,prix
46313,Valeur technique,Prix
46316,qualités techniques,prix
46317,Prix,Valeur technique
46321,Prix,Valeur technique
46324,Prix,Valeur technique et délais
46325,Prix des prestations,Valeur technique
46326,Prix,Valeur technique des prestations
46327,Méthodologie,Prix
46329,Valeur technique,Prix
46335,technique,prix
46336,Composition et expérience,Prix
46340,Forfait de rémunération,Note méthodologique
46342,Gestion commerciale et technique de laire,Qualité de laccompagnement sur site à la réalisation du projet
